No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,>2000 (2 bil)
1943,FRME,First Merchants Corp,Financial,Banks - Regional,USA,2162.65,9.73,37.46,-0.0061,180982,Yes
1945,FRO,Frontline Plc,Energy,Oil & Gas Midstream,Cyprus,4403.49,12.65,19.78,-0.0356,3916087,Yes
1946,FROG,JFrog Ltd,Technology,Software - Application,USA,4814.27,,42.02,-0.0071,1145428,Yes
1947,FRPT,Freshpet Inc,Consumer Defensive,Packaged Foods,USA,3106.79,96.3,63.69,-0.0553,1526776,Yes
1948,FRSH,Freshworks Inc,Technology,Software - Application,USA,3881.83,,13.32,-0.0104,4851489,Yes
1951,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,USA,8094.36,26.75,93.18,-0.0022,1363518,Yes
1953,FSK,FS KKR Capital Corp,Financial,Asset Management,USA,5668.54,10.65,20.24,0.005,1310171,Yes
1954,FSLR,First Solar Inc,Technology,Solar,USA,19841.89,15.82,185.01,-0.0098,1758636,Yes
1956,FSM,Fortuna Mining Corp,Basic Materials,Gold,Canada,2170.21,13.9,7.07,0.0187,11792538,Yes
1960,FSS,Federal Signal Corp,Industrials,Pollution & Treatment Controls,USA,7620.87,34.87,125.36,-0.0021,792164,Yes
1963,FSV,FirstService Corp,Real Estate,Real Estate Services,Canada,8905.33,62.84,195.98,-0.0066,101114,Yes
1967,FTAI,FTAI Aviation Ltd,Industrials,Rental & Leasing Services,USA,14116.79,34.13,137.63,-0.0097,1392163,Yes
1971,FTDR,Frontdoor Inc,Consumer Cyclical,Personal Services,USA,4188.51,16.8,56.92,0.0135,787987,Yes
1977,FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,USA,14619.86,16.85,35.57,0.0023,1914267,Yes
1980,FTNT,Fortinet Inc,Technology,Software - Infrastructure,USA,73923.93,39.75,96.58,0.0038,8765691,Yes
1984,FTS,Fortis Inc,Utilities,Utilities - Regulated Electric,Canada,25401.58,20.71,50.44,0.0002,465155,Yes
1987,FTV,Fortive Corp,Technology,Scientific & Technical Instruments,USA,16101.43,21.48,47.59,-0.0167,5499515,Yes
1994,FUL,H.B. Fuller Company,Basic Materials,Specialty Chemicals,USA,3016.58,30.36,55.9,-0.016,465291,Yes
1996,FULT,Fulton Financial Corp,Financial,Banks - Regional,USA,3194.13,10.27,17.57,-0.0085,1407761,Yes
1998,FUN,Six Flags Entertainment Corp,Consumer Cyclical,Leisure,USA,2458.78,,24.32,-0.2078,26843382,Yes
1999,FUTU,Futu Holdings Ltd ADR,Financial,Capital Markets,Hong Kong,17481.18,25.87,155.03,-0.001,1347269,Yes
2006,FWONA,Liberty Media Corp,Communication Services,Entertainment,USA,32286.53,,89.16,0.0139,70783,Yes
2007,FWONK,Liberty Media Corp,Communication Services,Entertainment,USA,32288.47,,99.69,0.0139,1047388,Yes
2027,FYBR,Frontier Communications Parent Inc,Communication Services,Telecom Services,USA,9184.02,,36.69,0.0027,1584669,Yes
2032,G,Genpact Ltd,Technology,Information Technology Services,Bermuda,7379.7,14.36,42.2,-0.004,2756692,Yes
2041,GAP,"Gap, Inc",Consumer Cyclical,Apparel Retail,USA,7479.99,8.74,20.05,0.0287,6835601,Yes
2043,GATX,GATX Corp,Industrials,Rental & Leasing Services,USA,5411.2,17.38,152,0.0042,123346,Yes
2046,GBCI,"Glacier Bancorp, Inc",Financial,Banks - Regional,USA,5210.34,22.82,43.95,-0.0083,592054,Yes
2047,GBDC,Golub Capital BDC Inc,Financial,Asset Management,USA,3937.21,13.69,14.78,-0.0007,1050145,Yes
2051,GBTG,Global Business Travel Group Inc,Consumer Cyclical,Travel Services,USA,3508.89,,7.33,0.1277,1870250,Yes
2055,GCMG,GCM Grosvenor Inc,Financial,Asset Management,USA,2286.08,86.61,11.77,-0.0142,520827,Yes
2059,GD,General Dynamics Corp,Industrials,Aerospace & Defense,USA,84730.22,21.15,314.99,0.0039,893434,Yes
2060,GDDY,Godaddy Inc,Technology,Software - Infrastructure,USA,22060.02,29.72,154.82,0.0091,1603067,Yes
2066,GDS,GDS Holdings Limited ADR,Technology,Information Technology Services,China,7167.17,,35.67,0.0034,638560,Yes
2071,GE,GE Aerospace,Industrials,Aerospace & Defense,USA,288736.42,38.01,272.28,0.0006,3576773,Yes
2072,GEF,Greif Inc,Consumer Cyclical,Packaging & Containers,USA,3185.03,18.61,66.04,0.0333,234482,Yes
2073,GEHC,GE HealthCare Technologies Inc,Healthcare,Medical Devices,USA,31941.08,14.32,69.96,-0.011,5171041,Yes
2074,GEL,Genesis Energy L.P,Energy,Oil & Gas Midstream,USA,2064.75,,16.86,-0.014,396223,Yes
2076,GEN,Gen Digital Inc,Technology,Software - Infrastructure,USA,17663.74,27.85,28.69,0.0038,3741681,Yes
2078,GENI,Genius Sports Limited,Communication Services,Internet Content & Information,United Kingdom,2967.89,,11.67,-0.045,13141780,Yes
2079,GEO,"Geo Group, Inc",Industrials,Security & Protection Services,USA,3233.92,35.48,22.88,-0.1146,10645933,Yes
2084,GEV,GE Vernova Inc,Industrials,Specialty Industrial Machinery,USA,180906.42,159.02,664.55,0.0228,1894867,Yes
2087,GFF,Griffon Corp,Industrials,Building Products & Equipment,USA,3339.78,52.99,71.02,-0.1375,1594685,Yes
2088,GFI,Gold Fields Ltd ADR,Basic Materials,Gold,South Africa,27539.77,22.33,30.77,0.0199,4205049,Yes
